term,category,meaning,source,primary_aspect,secondary_aspect,annotation_notes
лох,insult,sucker,Wiktionary,Classism / Social status insult,-,"Insult based on social position, marginality, or lifestyle stigma."
лошара,insult,variant,Telegram,Classism / Social status insult,-,"Insult based on social position, marginality, or lifestyle stigma."
лошок,insult,variant,Telegram,Classism / Social status insult,-,"Insult based on social position, marginality, or lifestyle stigma."
мерзкий,insult,disgusting,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
мерзота,insult,disgusting person,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
мерзотник,insult,vile person,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
морда,insult,face insult,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
мудак,insult,idiot/jerk,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
мудило,insult,strong insult,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
нарік,insult,junkie,Telegram,Classism / Social status insult,Substance-related stigma,"Insult based on social position, marginality, or lifestyle stigma."
неадекват,insult,unstable,Telegram,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
неадекватний,insult,unstable,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
недоумок,insult,half-wit,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
нікчема,insult,worthless,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
обісраний,insult,humiliated,Telegram,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
обісрати,profanity,to shame,Wiktionary,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
обісцяний,insult,dirty,Telegram,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
огидний,insult,disgusting,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
падло,insult,bastard,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
падлюка,insult,vile person,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
падлючий,insult,vile,Telegram,General insult,-,Personal insult without a clearly protected-group target.
паскуда,insult,vile person,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
пздц,masked,censored slang form,Telegram,Obfuscated offensive form,-,Masked spelling used to bypass moderation or soften visual form.
пидор,hate,homophobic slur,Wiktionary,Homophobia,Sexual vulgarity,Homophobic slur; also appears in mixed Ukrainian/Russian online writing.
пизда,profanity,vulgar female genital reference,Wiktionary,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
пиздец,profanity,russified variant,Telegram,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
пиздець,profanity,extreme negative expression,Wiktionary,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
підор,hate,variant,Telegram,Homophobia,Sexual vulgarity,Homophobic spelling variant.
пізда,profanity,variant spelling,Wiktionary,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
пітушара,hate,prison slang insult,Telegram,Homophobia,-,Prison slang with homophobic connotation.
пішов в сраку,profanity,insult phrase,Telegram,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
пішов к чорту,insult,go to hell,Wiktionary,Religious / devil-based insult,-,Aspect assigned according to common offensive usage.
пішов нахуй,profanity,go to hell (vulgar),Telegram,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
повія,sexual,prostitute,Wiktionary,Misogyny / Sexism,Sexual degradation,Gendered sexual insult.
покидьок,insult,scum,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
порву,threat,threat,Telegram,Threat / Harm,-,"Expression of harm, violence, or death-related aggression."
приб'ю,threat,kill threat,Telegram,Threat / Harm,-,"Expression of harm, violence, or death-related aggression."
придуркуватий,insult,silly,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
придурок,insult,fool,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
псих,insult,crazy,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
психічний,insult,mental insult,Telegram,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
психопат,insult,psycho,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
пiд@р,masked,censored form,Telegram,Homophobia,Sexual vulgarity; Obfuscated spelling,Obfuscated homophobic slur.
пiдор,hate,mixed spelling,Telegram,Homophobia,Sexual vulgarity,Mixed Latin/Cyrillic masked variant.
рило,insult,rude face reference,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
розірву,threat,threat,Telegram,Threat / Harm,-,"Expression of harm, violence, or death-related aggression."
с*ка,masked,censored insult,Telegram,Obfuscated offensive form,-,Masked spelling used to bypass moderation or soften visual form.
сам здохни,threat,insult,Telegram,Threat / Harm,Death wish,"Expression of harm, violence, or death-related aggression."
сволота,insult,scum,Wiktionary,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
скот,insult,animal insult,Telegram,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
скотина,insult,animal insult,Wiktionary,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
слабак,insult,weak person,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
смердючий,insult,smelly,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
ср*ка,masked,censored,Telegram,Scatological vulgarity,Obfuscated spelling,Offensive expression connected to excretion or dirt.
срака,profanity,ass,Wiktionary,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
стерва,insult,bitch,Wiktionary,Misogyny / Sexism,-,Gendered insult usually aimed at women.
сука,insult,offensive insult,Wiktionary,Misogyny / Sexism,-,"Gendered insult, also used as general abuse."
сучка,insult,diminutive insult,Wiktionary,Misogyny / Sexism,-,Diminutive gendered insult.
сцикун,insult,coward,Telegram,General insult,-,Personal insult without a clearly protected-group target.
тварина,insult,animal insult,Wiktionary,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
тварюка,insult,animal insult,Wiktionary,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
терпіла,insult,victim insult,Telegram,Classism / Social status insult,-,"Insult based on social position, marginality, or lifestyle stigma."
трахати,sexual,vulgar sexual verb,Wiktionary,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
трахнутий,insult,messed up,Telegram,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
тупак,insult,slang,Telegram,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
тупезний,insult,very stupid,Telegram,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
тупий,insult,stupid,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
тупість,insult,stupidity,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
тупорилий,insult,very stupid,Telegram,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
ублюдок,insult,bastard,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
уєбок,insult,strong insult,Telegram,General insult,-,Personal insult without a clearly protected-group target.
урод,insult,ugly person,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
уродина,insult,variant,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
фігня,euphemism,softened variant,Wiktionary,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
фраєр,insult,sucker,Wiktionary,Classism / Social status insult,-,"Insult based on social position, marginality, or lifestyle stigma."
харя,insult,vulgar face,Telegram,General insult,-,Personal insult without a clearly protected-group target.
хер,profanity,mild vulgar variant,Wiktionary,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
херня,profanity,nonsense,Telegram,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
хрін,profanity,softened euphemism,Wiktionary,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
ху*ня,masked,censored,Telegram,Sexual vulgarity,Obfuscated spelling,Offensive expression connected to sexual meaning or body references.
хуй,profanity,vulgar male genital reference,Wiktionary,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
хуйня,profanity,nonsense,Wiktionary,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
чмо,insult,scum,Telegram,General insult,-,Personal insult without a clearly protected-group target.
чмошник,insult,derived insult,Telegram,General insult,-,Personal insult without a clearly protected-group target.
чорт,insult,devil insult,Wiktionary,Religious / devil-based insult,-,Aspect assigned according to common offensive usage.
шалава,insult,offensive term,Wiktionary,Misogyny / Sexism,Sexual degradation,Gendered sexual insult.
шизік,insult,slang,Telegram,Ableism / Intelligence insult,-,Ableist mental-health insult.
шизофренік,insult,insult,Wiktionary,Ableism / Intelligence insult,-,Ableist mental-health insult.
шлюха,sexual,prostitute insult,Wiktionary,Misogyny / Sexism,Sexual degradation,Gendered sexual insult.
шмаркач,insult,brat,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
щоб ти здох,threat,death wish,Telegram,Threat / Harm,Death wish,Death wish rather than a direct threat.
